region,body,type,aphelion_apogee,perihelion_perogee,semi_major_axis,eccentricity,orbital_period,mean_anomaly,inclination,longitude_of_ascending_node,argument_of_perihelion,mass,D,R,C,SG,EV,RP,AT,TH,HE,HP,LB,Unnamed: 24,Unnamed: 25
Jupiter Orbit,Carme (J XI),,,,23139200.0,0.261,719.28,,164.6,,,53000000000000000,46.7,23.35,146.71237692264336,0.006487954917487814,0.01740653597493427,,,0.0,1.0,0.0,0.0,,
Jupiter Orbit,Pasiphae (J VIII),,,,23463200.0,0.412,734.42,,148.3,,,100000000000000000,57.8,28.9,181.58405537749005,0.007991163898899676,0.02149160937101736,,,0.0,1.0,0.0,0.0,,
Outer Solar System,Saturn,Gas Giant Planet,1514500000.0,1352550000.0,1433530000.0,0.0565,10755.7,317.02,2.485,113.665,339.392,568340000000000030526144512,58232.0,58232.0,182941.22340384082,10.44,35.5,0.4291666666666667,26.73,179828.0,732.0,5.0,488.0,,
Saturn Orbit,Mimas (S I),,,,185539.0,0.02,0.9,,1.6,,,40000000000000000000,396.0,198.0,1244.0706908215582,0.06809815324966839,0.16421592092994114,,,15.0,5.0,5.0,3.0,,
Saturn Orbit,Enceladus (S II),,,,237948.0,0.005,1.4,,0.0,,,110000000000000000000,504.0,252.0,1583.3626974092558,0.11561051272360795,0.24138703033240705,,,22.0,6.0,5.0,4.0,,
Saturn Orbit,Tethys (S III),,,,294619.0,1.1,1.9,,1.1,,,620000000000000000000,1062.0,531.0,3336.37139811236,0.14676022570497335,0.3947902730547977,,,81.0,13.0,5.0,9.0,,
Saturn Orbit,Dione (S IV),,,,377396.0,0.0,2.7,,0.0,,,1100000000000000000000,1123.0,561.5,3528.0085499813376,0.23286214177931044,0.5113747991621855,,,86.0,14.0,5.0,9.0,,
Saturn Orbit,Rhea (S V),,,,527108.0,0.001,4.5,,0.3,,,2300000000000000000000,1527.0,763.5,4797.211982031614,0.2633391787810676,0.6341284775175219,,,156.0,19.0,5.0,13.0,,
Saturn Orbit,TItan (S VI),,,,1221870.0,0.029,16.0,,0.3,,,134999999999999993708544,5149.0,2574.5,16176.060573333845,1.359420140183759,2.645685979440148,,,1505.0,65.0,5.0,43.0,,
Saturn Orbit,Iapetus (S VIII),,,,3560820.0,0.028,79.0,,7.6,,,1800000000000000000000,1470.0,735.0,4618.141200776996,0.22238400666389002,0.5717556206946447,,,138.0,18.0,5.0,12.0,,
Saturn Orbit,Hyperion (S VII),,,,1841500.0,0.105,21.2767,,0.6,,,5551000000000000000,270.0,135.0,848.2300164692441,0.020328690973936896,0.07408607536482792,,,3.0,3.0,0.0,2.0,,
Saturn Orbit,Phoebe (S IX),,,,12929400.0,0.162,-500.3,,175.2,,,8312300000000000000,213.0,106.5,669.1592352146259,0.04891338481341885,0.1020713033386868,,,3.0,3.0,0.0,2.0,,
Saturn Orbit,Janus (S X),,,,151500.0,0.007,0.69732,,0.2,,,1893880000000000000,179.0,89.5,562.345084992573,0.01578018574201804,0.05314746699346291,,,,2.0,,1.0,,
Saturn Orbit,Epimethus (S XI),,,,151400.0,0.02,0.697,,0.3,,,525607000000000000,116.2,58.1,365.05306634713395,0.010392369971945809,0.03475044446823814,,,,1.0,,1.0,,
Saturn Orbit,Prometheus (S XVI),,,,139400.0,0.002,0.615,,0.0,,,159720000000000000,86.2,43.1,270.8052867394402,0.005738659869402081,0.02224123379541835,,,,1.0,,1.0,,
Saturn Orbit,Pandora (S XVII),,,,141700.0,0.004,0.63137,,0.0,,,135700000000000000,81.4,40.7,255.72564200220918,0.005467600226985976,0.02109650820578274,,,,1.0,,1.0,,
Saturn Orbit,Siamaq (S XXIX),,,,17881100.0,0.309,895.58,,47.8,,,32000000000000000,39.3,19.65,123.46459128607886,0.005531343032327824,0.014743872665296708,,,0.0,0.0,0.0,0.0,,
Saturn Orbit,Helene (S XII),,,,377600.0,0.007,2.7369,,0.2,,,7100000000000000,35.2,17.6,110.58406140636073,0.0015298143724173552,0.007338219532631257,,,0.0,0.0,0.0,0.0,,
Saturn Orbit,Atlas (S XV),,,,137700.0,0.001,0.6046,,0.0,,,5490000000000000,30.2,15.1,94.87609813841175,0.0016070307004078766,0.006966514706244284,,,0.0,0.0,0.0,0.0,,
Saturn Orbit,Albiorix (S XXVI),,,,16329100.0,0.482,783.46,,36.8,,,12000000000000000,28.6,14.3,89.8495498926681,0.003916651180986845,0.010583771717881284,,,0.0,0.0,0.0,0.0,,
Saturn Orbit,Pan (S XVIII),,,,133600.0,0.0,0.575,,0.0,,,4300000000000000,28.2,14.1,88.59291283123217,0.001443563704039032,0.006380321030630097,,,0.0,0.0,0.0,0.0,,
Saturn Orbit,Paaliaq (S XX),,,,14997900.0,0.378,686.94,,48.5,,,14000000000000000,25.0,12.5,78.53981633974483,0.005980172799999999,0.012227195917298454,,,0.0,0.0,0.0,0.0,,
Saturn Orbit,Telesto (S XIII),,,,295000.0,0.001,1.8878,,1.2,,,3900000000000000,24.8,12.4,77.91149780902687,0.0016928830645161288,0.006479467570719064,,,0.0,0.0,0.0,0.0,,
Saturn Orbit,Calypso (S XIV),,,,295000.0,0.001,1.8878,,1.5,,,1800000000000000,21.4,10.7,67.23008278682157,0.0010493265787405012,0.004738732824822131,,,0.0,0.0,0.0,0.0,,
Saturn Orbit,Ymir (S XIX),,,,22954500.0,0.338,-1315.08,,172.3,,,5600000000000000,19.0,9.5,59.690260418206066,0.004141393905817174,0.008870540243442127,,,0.0,0.0,0.0,0.0,,
Saturn Orbit,Kiviuq (S XXIV),,,,11307500.0,0.275,449.13,,48.0,,,3600000000000000,17.0,8.5,53.40707511102649,0.0033256027681660898,0.007518992423112523,,,0.0,0.0,0.0,0.0,,
Saturn Orbit,Tarvos (S XXI),,,,18215600.0,0.522,926.43,,37.8,,,2100000000000000,15.0,7.5,47.12388980384689,0.0024917386666666666,0.006113597958649227,,,0.0,0.0,0.0,0.0,,
Saturn Orbit,Ijiraq (S XXII),,,,11344600.0,0.293,451.43,,49.2,,,1800000000000000,13.0,6.5,40.840704496667314,0.0028434887573964497,0.006079913967002646,,,0.0,0.0,0.0,0.0,,
Saturn Orbit,Erriapus (S XXVIII),,,,17507000.0,0.476,871.09,,37.1,,,950000000000000,10.0,5.0,31.41592653589793,0.0025362339999999996,0.005036103652626701,,,0.0,0.0,0.0,0.0,,
Outer Solar System,Uranus,,3006390000.0,2735560000.0,2870972000.0,0.0471,369.66,142.2386,0.773,74.006,96.9988,86810000000000006505365504,50724.0,25362.0,159354.14576068867,8.69,21.3,-0.718661,82.23,136425.0,637.0,5.0,425.0,,
Uranus Orbit,Titania (U III),,,,436282.0,0.0012,8.7064,,0.11129,,,3455000000000000262144,1576.8,788.4,4953.663296180385,0.3709885826086576,0.7648364511824285,,,163.0,20.0,5.0,13.0,,
Uranus Orbit,Oberon (U IV),,,,583449.0,0.0014,13.465,,0.1478,,,3110400000000000000000,1522.8,761.4,4784.017292886537,0.358093321932163,0.7384473648394297,,,156.0,19.0,5.0,13.0,,
Uranus Orbit,Umbriel (U II),,,,265982.0,0.0039,4.1445,,0.0796,,,128850000000000000000,1169.0,584.5,3672.5218120464683,0.025172196630812674,0.1715409509750369,,,100.0,15.0,5.0,10.0,,
Uranus Orbit,Ariel (U I),,,,190930.0,0.0012,2.5207,,0.0167,,,1233100000000000131072,1157.8,578.9,3637.335974326262,0.24558222074668748,0.5332308085440252,,,100.0,15.0,5.0,10.0,,
Uranus Orbit,Miranda (U V),,,,129858.0,0.0014,1.4138,,4.4072,,,62930000000000000000,471.6,235.8,1481.5750954329465,0.07553980404175127,0.18874472598218447,,,22.0,6.0,5.0,4.0,,
Uranus Orbit,Puck (U XV),,,,86005.0,0.0002,0.76148,,0.3562,,,1910000000000000000,162.0,81.0,508.93800988154646,0.019429832342630696,0.05610376849647599,,,,2.0,,1.0,,
Uranus Orbit,Sycorax (U XVII),,,,12193200.0,0.0,-1286.0,,157.0,,,1910000000000000000,157.0,78.5,493.2300466135975,0.020687107793419608,0.056990138827404856,,,,2.0,,1.0,,
Uranus Orbit,Portia (U XII),,,,66100.0,0.0,0.5132,,0.0,,,1300000000000000000,135.0,67.5,424.11500823462205,0.019043270233196154,0.05070346616831517,,,,2.0,,1.0,,
Uranus Orbit,Juliet (U XI),,,,64400.0,0.001,0.49348,,0.0,,,430000000000000000,94.0,47.0,295.3097094374406,0.012992073336351289,0.034946457526007134,,,,1.0,,1.0,,
Uranus Orbit,Belinda (U XIV),,,,75300.0,0.0,0.62353,,0.0,,,380000000000000000,90.0,45.0,282.7433388230814,0.01252461234567901,0.033574024350844674,,,,1.0,,1.0,,
Uranus Orbit,Cressida (U IX),,,,61800.0,0.0,0.4631,,0.1,,,270000000000000000,80.0,40.0,251.32741228718345,0.01126288125,0.030017170086468845,,,,1.0,,1.0,,
Uranus Orbit,Rosalind (U XIII),,,,69900.0,0.0,0.5585,,0.0,,,200000000000000000,72.0,36.0,226.1946710584651,0.010299845679012345,0.02723212971636425,,,,1.0,,1.0,,
Uranus Orbit,Desdemona (U X),,,,62700.0,0.0,0.4732,,0.1,,,140000000000000000,64.0,32.0,201.06192982974676,0.00912501953125,0.024166117809859326,,,,1.0,,1.0,,
Uranus Orbit,Bianca (U VIII),,,,59200.0,0.001,0.435,,0.1,,,69000000000000000,51.0,25.5,160.22122533307945,0.007082302191464821,0.019005194336409872,,,0.0,1.0,0.0,0.0,,
Uranus Orbit,Prospero (U XVIII),,,,16221000.0,0.441,-1974.0,,149.4,,,65000000000000000,50.0,25.0,157.07963267948966,0.006941272,0.01862964304542629,,,0.0,1.0,0.0,0.0,,
Uranus Orbit,Setebos (U XIX),,,,17519800.0,0.579,-2215.0,,153.9,,,54000000000000000,47.0,23.5,147.6548547187203,0.0065262507922136705,0.01751381703781453,,,0.0,1.0,0.0,0.0,,
Uranus Orbit,Ophelia (U VII),,,,53800.0,0.011,0.3769,,0.1,,,42000000000000000,43.0,21.5,135.0884841043611,0.006064263926446727,0.016148168590809586,,,0.0,1.0,0.0,0.0,,
Uranus Orbit,Caliban (U XVI),,,,7167000.0,0.2,-580.0,,141.4,,,39000000000000000,42.0,21.0,131.94689145077132,0.005902442176870747,0.015744922083915543,,,0.0,1.0,0.0,0.0,,
Uranus Orbit,Coredlia (U VI),,,,49800.0,0.0,0.3346,,0.2,,,34000000000000000,40.0,20.0,125.66370614359172,0.005673155,0.015064069835207217,,,0.0,1.0,0.0,0.0,,
Uranus Orbit,Stephano (U XX),,,,7951400.0,0.235,-677.0,,143.6,,,17000000000000000,32.0,16.0,100.53096491487338,0.00443215234375,0.011909192877773036,,,0.0,0.0,0.0,0.0,,
Uranus Orbit,Perdita (U XXV),,,,76400.0,0.002,0.6384,,0.0,,,14000000000000000,30.0,15.0,94.24777960769379,0.004152897777777777,0.01116185169823239,,,0.0,0.0,0.0,0.0,,
Uranus Orbit,Francisco (U XXII),,,,4275700.0,0.144,-267.0,,146.8,,,5600000000000000,22.0,11.0,69.11503837897544,0.0030889322314049585,0.008243573805753733,,,0.0,0.0,0.0,0.0,,
Uranus Orbit,Ferdinand (U XXIV),,,,20421400.0,0.395,-2788.0,,169.2,,,4800000000000000,21.0,10.5,65.97344572538566,0.0029058176870748295,0.007811668927224925,,,0.0,0.0,0.0,0.0,,
Uranus Orbit,Margaret (U XXIII),,,,14425000.0,0.642,1655.0,,60.5,,,4200000000000000,20.0,10.0,62.83185307179586,0.002803206,0.007487597745605729,,,0.0,0.0,0.0,0.0,,
Uranus Orbit,Cupid (U XXVII),,,,74400.0,0.005,0.6132,,0.1,,,3100000000000000,18.0,9.0,56.548667764616276,0.0025543617283950615,0.006780745616162806,,,0.0,0.0,0.0,0.0,,
Uranus Orbit,Mab (U XXVI),,,,97700.0,0.003,0.9233,,0.1,,,3100000000000000,18.0,9.0,56.548667764616276,0.0025543617283950615,0.006780745616162806,,,0.0,0.0,0.0,0.0,,
Uranus Orbit,Trinculo (U XXI),,,,8502600.0,0.22,-749.0,,167.1,,,3100000000000000,18.0,9.0,56.548667764616276,0.0025543617283950615,0.006780745616162806,,,0.0,0.0,0.0,0.0,,
Outer Solar System,Neptune,,4540000000.0,4460000000.0,4500000000.0,0.008678,367.49,259.883,1.77,131.783,273.187,102409000000000005039456256,49244.0,24622.0,154704.58863337577,11.15,23.5,0.6713,28.32,128856.0,619.0,5.0,413.0,,
Neptune Orbit,Triton (N I),,,,354759.0,0.0,-5.8769,,156.865,,,21390000000000000524288,2705.2,1352.6,8498.636446491108,0.7803289906511124,1.452909489785716,,,449.0,34.0,5.0,23.0,,
Neptune Orbit,Proteus (N VIII),,,,117646.0,0.0,1.1223,,156.885,,,39000000000000000000,420.0,210.0,1319.4689145077132,0.05902442176870747,0.15744922083915544,,,20.0,5.0,5.0,4.0,,
Neptune Orbit,Nereid (N II),,,,5513900.0,0.751,360.13,,5.1,,,24000000000000000000,357.0,178.5,1121.548577331556,0.05027366240613892,0.13396901686207746,,,12.0,4.0,4.0,3.0,,
